record_id,old_filename,new_filename,old_relative_path,new_relative_path,naming_basis,source_page_url,download_url,sha256,status
JSJZI-440304/440303,6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,1-智能建造技术专业群人才培养方案 (2025版).pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440303_建筑钢结构工程技术/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440303_建筑钢结构工程技术/1-智能建造技术专业群人才培养方案 (2025版).pdf,官网附件标题,https://jwc.jsviat.edu.cn/2025/0929/c6729a148576/page.htm,https://jwc.jsviat.edu.cn/_upload/article/files/8d/63/989c420643d7853c33d3735e505a/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,12cc8e989391b6612e88a406ad032c74cf46938683a638438ac8551685e98170,已执行
JSJZI-440304/440102,6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,1-智能建造技术专业群人才培养方案 (2025版).pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440102_建筑装饰工程技术/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440102_建筑装饰工程技术/1-智能建造技术专业群人才培养方案 (2025版).pdf,官网附件标题,https://jwc.jsviat.edu.cn/2025/0929/c6729a148576/page.htm,https://jwc.jsviat.edu.cn/_upload/article/files/8d/63/989c420643d7853c33d3735e505a/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,12cc8e989391b6612e88a406ad032c74cf46938683a638438ac8551685e98170,已执行
JSJZI-440304/440404,6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,1-智能建造技术专业群人才培养方案 (2025版).pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440404_建筑智能化工程技术/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440404_建筑智能化工程技术/1-智能建造技术专业群人才培养方案 (2025版).pdf,官网附件标题,https://jwc.jsviat.edu.cn/2025/0929/c6729a148576/page.htm,https://jwc.jsviat.edu.cn/_upload/article/files/8d/63/989c420643d7853c33d3735e505a/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,12cc8e989391b6612e88a406ad032c74cf46938683a638438ac8551685e98170,已执行
JSJZI-440304/440502,6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,1-智能建造技术专业群人才培养方案 (2025版).pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440502_建设工程管理/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,documents/江苏/JSJZI_江苏建筑职业技术大学/智能建造技术专业群/440502_建设工程管理/1-智能建造技术专业群人才培养方案 (2025版).pdf,官网附件标题,https://jwc.jsviat.edu.cn/2025/0929/c6729a148576/page.htm,https://jwc.jsviat.edu.cn/_upload/article/files/8d/63/989c420643d7853c33d3735e505a/6f24690e-2f99-44ca-9af5-8e76c33e2ae2.pdf,12cc8e989391b6612e88a406ad032c74cf46938683a638438ac8551685e98170,已执行
NJCIT-510301/510301,7491cbb5-566f-4ef7-bb42-99674e23ef52.pdf,2025现代通信技术人才培养方案.pdf,documents/江苏/NJCIT_南京信息职业技术学院/现代通信技术专业群/510301_现代通信技术/7491cbb5-566f-4ef7-bb42-99674e23ef52.pdf,documents/江苏/NJCIT_南京信息职业技术学院/现代通信技术专业群/510301_现代通信技术/2025现代通信技术人才培养方案.pdf,官网附件标题,https://xxgk.njcit.cn/2025/1024/c4596a159329/page.htm,https://xxgk.njcit.cn/_upload/article/files/69/b8/100dc0724bb59ffd91288d1e137c/7491cbb5-566f-4ef7-bb42-99674e23ef52.pdf,f394494c651b40e6253b5def06d0583f1401820ade6469dc0ba75ab121d1a1bb,已执行
NJCIT-510301/510309,192e000c-97f0-4e72-9d9e-504bfc15132c.pdf,2025电信服务与管理人才培养方案.pdf,documents/江苏/NJCIT_南京信息职业技术学院/现代通信技术专业群/510309_电信服务与管理/192e000c-97f0-4e72-9d9e-504bfc15132c.pdf,documents/江苏/NJCIT_南京信息职业技术学院/现代通信技术专业群/510309_电信服务与管理/2025电信服务与管理人才培养方案.pdf,官网附件标题,https://xxgk.njcit.cn/2025/1024/c4596a159299/page.htm,https://xxgk.njcit.cn/_upload/article/files/de/50/d87b84d84ce7a818cb05074f414b/192e000c-97f0-4e72-9d9e-504bfc15132c.pdf,819fc51293baf3885dea16c2da2f542d1f7c0238006b5188a22aa8769c8ec48f,已执行
NJCIT-510301/510206,b3cfb0c1-39ef-45fc-b1ce-eb0e95325a1b.pdf,2025云计算技术应用人才培养方案.pdf,documents/江苏/NJCIT_南京信息职业技术学院/现代通信技术专业群/510206_云计算技术应用/b3cfb0c1-39ef-45fc-b1ce-eb0e95325a1b.pdf,documents/江苏/NJCIT_南京信息职业技术学院/现代通信技术专业群/510206_云计算技术应用/2025云计算技术应用人才培养方案.pdf,官网附件标题,https://xxgk.njcit.cn/2025/1024/c4596a159338/page.htm,https://xxgk.njcit.cn/_upload/article/files/c7/3d/c6e68c874b9a8ca5a03700eba6a5/b3cfb0c1-39ef-45fc-b1ce-eb0e95325a1b.pdf,17e8945c808f99d2191a29d5a9d5f9a95a6661aa789a54a76038e4763864c691,已执行
NJCIT-510301/510102,6702ea01-9559-4ccc-8f19-0c0306e25c5c.pdf,2025物联网应用技术人才培养方案.pdf,documents/江苏/NJCIT_南京信息职业技术学院/现代通信技术专业群/510102_物联网应用技术/6702ea01-9559-4ccc-8f19-0c0306e25c5c.pdf,documents/江苏/NJCIT_南京信息职业技术学院/现代通信技术专业群/510102_物联网应用技术/2025物联网应用技术人才培养方案.pdf,官网附件标题,https://xxgk.njcit.cn/2025/1024/c4596a159326/page.htm,https://xxgk.njcit.cn/_upload/article/files/da/fa/95bb18d445f3b712ed80a3525326/6702ea01-9559-4ccc-8f19-0c0306e25c5c.pdf,2c9f8f9e095d5ad201e98e4e1b72797f49fdbac87013f2b779293f01408eb70e,已执行
JSIT-510402/510401,DD5832D6353B1811E38A4F60F40_C5C0E7D0_1F8DA3.pdf,江苏信息职业技术学院-微电子技术专业群-集成电路技术.pdf,documents/江苏/JSIT_江苏信息职业技术学院/微电子技术专业群/510401_集成电路技术/DD5832D6353B1811E38A4F60F40_C5C0E7D0_1F8DA3.pdf,documents/江苏/JSIT_江苏信息职业技术学院/微电子技术专业群/510401_集成电路技术/江苏信息职业技术学院-微电子技术专业群-集成电路技术.pdf,学校-专业群-专业兜底,https://www.jsit.edu.cn/jwc/info/1029/2862.htm,https://www.jsit.edu.cn/__local/C/EE/F4/DD5832D6353B1811E38A4F60F40_C5C0E7D0_1F8DA3.pdf,4bd531db64fa9460164eabd733ede1fb820a3a57c69cf831a3042722ecebdf0c,已执行
JSIT-510402/510402,DD5832D6353B1811E38A4F60F40_C5C0E7D0_1F8DA3.pdf,江苏信息职业技术学院-微电子技术专业群-微电子技术.pdf,documents/江苏/JSIT_江苏信息职业技术学院/微电子技术专业群/510402_微电子技术/DD5832D6353B1811E38A4F60F40_C5C0E7D0_1F8DA3.pdf,documents/江苏/JSIT_江苏信息职业技术学院/微电子技术专业群/510402_微电子技术/江苏信息职业技术学院-微电子技术专业群-微电子技术.pdf,学校-专业群-专业兜底,https://www.jsit.edu.cn/jwc/info/1029/2862.htm,https://www.jsit.edu.cn/__local/C/EE/F4/DD5832D6353B1811E38A4F60F40_C5C0E7D0_1F8DA3.pdf,4bd531db64fa9460164eabd733ede1fb820a3a57c69cf831a3042722ecebdf0c,已执行
