层次	专业大类	专业类	专业名称及代码	官方链接	预期字节数	本地相对路径
高职专科	装备制造大类	轨道装备类	460401 铁道机车车辆制造与维护	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_gdzbl/202502/P020250207525868408805.pdf	348618	高职专科/装备制造大类/轨道装备类/460401_铁道机车车辆制造与维护.pdf
高职专科	装备制造大类	轨道装备类	460402 高速铁路动车组制造与维护	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_gdzbl/202502/P020250207525698280806.pdf	342556	高职专科/装备制造大类/轨道装备类/460402_高速铁路动车组制造与维护.pdf
高职专科	装备制造大类	轨道装备类	460403 城市轨道交通车辆制造与维护	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_gdzbl/202502/P020250207525546854319.pdf	354159	高职专科/装备制造大类/轨道装备类/460403_城市轨道交通车辆制造与维护.pdf
高职专科	生物与化工大类	化工技术类	470201 应用化工技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_hgjsl/202502/P020250207523467068832.pdf	346320	高职专科/生物与化工大类/化工技术类/470201_应用化工技术.pdf
高职专科	生物与化工大类	化工技术类	470208 分析检验技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_hgjsl/202502/P020250207523915873912.pdf	353775	高职专科/生物与化工大类/化工技术类/470208_分析检验技术.pdf
高职专科	生物与化工大类	化工技术类	470209 化工智能制造技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_hgjsl/202502/P020250207524220107895.pdf	356044	高职专科/生物与化工大类/化工技术类/470209_化工智能制造技术.pdf
高职专科	生物与化工大类	化工技术类	470210 化工装备技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_swyhgdl/zbzzdl_hgjsl/202502/P020250207524606338993.pdf	359577	高职专科/生物与化工大类/化工技术类/470210_化工装备技术.pdf
高职专科	装备制造大类	航空装备类	460601 飞行器数字化制造技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_hkzbl/202502/P020250207527930122935.pdf	340828	高职专科/装备制造大类/航空装备类/460601_飞行器数字化制造技术.pdf
高职专科	装备制造大类	航空装备类	460602 飞行器数字化装配技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_hkzbl/202502/P020250207527787342412.pdf	345910	高职专科/装备制造大类/航空装备类/460602_飞行器数字化装配技术.pdf
高职专科	装备制造大类	航空装备类	460605 飞机机载设备装配调试技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_hkzbl/202502/P020250207527632926667.pdf	345433	高职专科/装备制造大类/航空装备类/460605_飞机机载设备装配调试技术.pdf
高职专科	装备制造大类	航空装备类	460606 航空装备表面处理技术	https://www.moe.gov.cn/s78/A07/zcs_ztzl/2017_zt06/17zt06_bznr/bznr_zyjyzyjxbz/gdzyjy_zk/zk_zbzzdl/zbzzdl_hkzbl/202502/P020250207527479052938.pdf	336157	高职专科/装备制造大类/航空装备类/460606_航空装备表面处理技术.pdf
