层次	专业名称及代码	预期字节数	实际字节数	PDF文件头	状态	本地相对路径
高职专科	530101 财税大数据应用	395368	395368	%PDF-	OK	高职专科/财经商贸大类/财政税务类/530101_财税大数据应用.pdf
高职专科	530701 电子商务	358183	358183	%PDF-	OK	高职专科/财经商贸大类/电子商务类/530701_电子商务.pdf
高职专科	530702 跨境电子商务	345810	345810	%PDF-	OK	高职专科/财经商贸大类/电子商务类/530702_跨境电子商务.pdf
高职专科	530703 移动商务	339968	339968	%PDF-	OK	高职专科/财经商贸大类/电子商务类/530703_移动商务.pdf
高职专科	530704 网络营销与直播电商	343905	343905	%PDF-	OK	高职专科/财经商贸大类/电子商务类/530704_网络营销与直播电商.pdf
高职专科	530705 农村电子商务	358329	358329	%PDF-	OK	高职专科/财经商贸大类/电子商务类/530705_农村电子商务.pdf
高职专科	530706 商务数据分析与应用	344651	344651	%PDF-	OK	高职专科/财经商贸大类/电子商务类/530706_商务数据分析与应用.pdf
高职专科	530601 工商企业管理	328997	328997	%PDF-	OK	高职专科/财经商贸大类/工商管理类/530601_工商企业管理.pdf
高职专科	530602 连锁经营与管理	341795	341795	%PDF-	OK	高职专科/财经商贸大类/工商管理类/530602_连锁经营与管理.pdf
高职专科	530603 商务管理	322880	322880	%PDF-	OK	高职专科/财经商贸大类/工商管理类/530603_商务管理.pdf
高职专科	530604 中小企业创业与经营	348857	348857	%PDF-	OK	高职专科/财经商贸大类/工商管理类/530604_中小企业创业与经营.pdf
高职专科	530605 市场营销	345138	345138	%PDF-	OK	高职专科/财经商贸大类/工商管理类/530605_市场营销.pdf
高职专科	530501 国际经济与贸易	346915	346915	%PDF-	OK	高职专科/财经商贸大类/经济贸易类/530501_国际经济与贸易.pdf
高职专科	530502 国际商务	368411	368411	%PDF-	OK	高职专科/财经商贸大类/经济贸易类/530502_国际商务.pdf
高职专科	530503 关务与外贸服务	342410	342410	%PDF-	OK	高职专科/财经商贸大类/经济贸易类/530503_关务与外贸服务.pdf
高职专科	530201 金融服务与管理	358164	358164	%PDF-	OK	高职专科/财经商贸大类/金融类/530201_金融服务与管理.pdf
高职专科	530202 金融科技应用	338068	338068	%PDF-	OK	高职专科/财经商贸大类/金融类/530202_金融科技应用.pdf
高职专科	530203 保险实务	340944	340944	%PDF-	OK	高职专科/财经商贸大类/金融类/530203_保险实务.pdf
高职专科	530205 财富管理	335815	335815	%PDF-	OK	高职专科/财经商贸大类/金融类/530205_财富管理.pdf
高职专科	530206 证券实务	311292	311292	%PDF-	OK	高职专科/财经商贸大类/金融类/530206_证券实务.pdf
高职专科	530208 农村金融	341768	341768	%PDF-	OK	高职专科/财经商贸大类/金融类/530208_农村金融.pdf
高职专科	530401 统计与大数据分析	329554	329554	%PDF-	OK	高职专科/财经商贸大类/统计类/530401_统计与大数据分析.pdf
高职专科	530403 市场调查与统计分析	358834	358834	%PDF-	OK	高职专科/财经商贸大类/统计类/530403_市场调查与统计分析.pdf
高职专科	530802 现代物流管理	382310	382310	%PDF-	OK	高职专科/财经商贸大类/物流类/530802_现代物流管理.pdf
高职专科	530803 航空物流管理	344624	344624	%PDF-	OK	高职专科/财经商贸大类/物流类/530803_航空物流管理.pdf
高职专科	530804 铁路物流管理	347750	347750	%PDF-	OK	高职专科/财经商贸大类/物流类/530804_铁路物流管理.pdf
高职专科	530806 港口物流管理	335548	335548	%PDF-	OK	高职专科/财经商贸大类/物流类/530806_港口物流管理.pdf
高职专科	530809 智能物流技术	366627	366627	%PDF-	OK	高职专科/财经商贸大类/物流类/530809_智能物流技术.pdf
高职专科	530810 供应链运营	343073	343073	%PDF-	OK	高职专科/财经商贸大类/物流类/530810_供应链运营.pdf
高职专科	510101 电子信息工程技术	350365	350365	%PDF-	OK	高职专科/电子与信息大类/电子信息类/510101_电子信息工程技术.pdf
高职专科	510102 物联网应用技术	343834	343834	%PDF-	OK	高职专科/电子与信息大类/电子信息类/510102_物联网应用技术.pdf
高职专科	510103 应用电子技术	354206	354206	%PDF-	OK	高职专科/电子与信息大类/电子信息类/510103_应用电子技术.pdf
高职专科	510104 电子产品制造技术	353552	353552	%PDF-	OK	高职专科/电子与信息大类/电子信息类/510104_电子产品制造技术.pdf
高职专科	510105 电子产品检测技术	386264	386264	%PDF-	OK	高职专科/电子与信息大类/电子信息类/510105_电子产品检测技术.pdf
高职专科	510106 移动互联应用技术	347178	347178	%PDF-	OK	高职专科/电子与信息大类/电子信息类/510106_移动互联应用技术.pdf
高职专科	510107 汽车智能技术	367442	367442	%PDF-	OK	高职专科/电子与信息大类/电子信息类/510107_汽车智能技术.pdf
高职专科	510108 智能产品开发与应用	343139	343139	%PDF-	OK	高职专科/电子与信息大类/电子信息类/510108_智能产品开发与应用.pdf
高职专科	510201 计算机应用技术	360510	360510	%PDF-	OK	高职专科/电子与信息大类/计算机类/510201_计算机应用技术.pdf
高职专科	510202 计算机网络技术	337838	337838	%PDF-	OK	高职专科/电子与信息大类/计算机类/510202_计算机网络技术.pdf
高职专科	510203 软件技术	350454	350454	%PDF-	OK	高职专科/电子与信息大类/计算机类/510203_软件技术.pdf
高职专科	510204 数字媒体技术	349036	349036	%PDF-	OK	高职专科/电子与信息大类/计算机类/510204_数字媒体技术.pdf
高职专科	510205 大数据技术	354060	354060	%PDF-	OK	高职专科/电子与信息大类/计算机类/510205_大数据技术.pdf
高职专科	510206 云计算技术应用	343610	343610	%PDF-	OK	高职专科/电子与信息大类/计算机类/510206_云计算技术应用.pdf
高职专科	510207 信息安全技术应用	358130	358130	%PDF-	OK	高职专科/电子与信息大类/计算机类/510207_信息安全技术应用.pdf
高职专科	510208 虚拟现实技术应用	344602	344602	%PDF-	OK	高职专科/电子与信息大类/计算机类/510208_虚拟现实技术应用.pdf
高职专科	510209 人工智能技术应用	356781	356781	%PDF-	OK	高职专科/电子与信息大类/计算机类/510209_人工智能技术应用.pdf
高职专科	510210 嵌入式技术应用	363886	363886	%PDF-	OK	高职专科/电子与信息大类/计算机类/510210_嵌入式技术应用.pdf
高职专科	510211 工业互联网技术	341459	341459	%PDF-	OK	高职专科/电子与信息大类/计算机类/510211_工业互联网技术.pdf
高职专科	510212 区块链技术应用	343578	343578	%PDF-	OK	高职专科/电子与信息大类/计算机类/510212_区块链技术应用.pdf
高职专科	510213 移动应用开发	359667	359667	%PDF-	OK	高职专科/电子与信息大类/计算机类/510213_移动应用开发.pdf
高职专科	510214 工业软件开发技术	357724	357724	%PDF-	OK	高职专科/电子与信息大类/计算机类/510214_工业软件开发技术.pdf
高职专科	510215 动漫制作技术	354380	354380	%PDF-	OK	高职专科/电子与信息大类/计算机类/510215_动漫制作技术.pdf
高职专科	510216 密码技术应用	344145	344145	%PDF-	OK	高职专科/电子与信息大类/计算机类/510216_密码技术应用.pdf
高职专科	510301 现代通信技术	373668	373668	%PDF-	OK	高职专科/电子与信息大类/通信类/510301_现代通信技术.pdf
高职专科	510302 现代移动通信技术	355233	355233	%PDF-	OK	高职专科/电子与信息大类/通信类/510302_现代移动通信技术.pdf
高职专科	510303 通信软件技术	360069	360069	%PDF-	OK	高职专科/电子与信息大类/通信类/510303_通信软件技术.pdf
高职专科	510304 卫星通信与导航技术	343334	343334	%PDF-	OK	高职专科/电子与信息大类/通信类/510304_卫星通信与导航技术.pdf
高职专科	510306 通信系统运行管理	362051	362051	%PDF-	OK	高职专科/电子与信息大类/通信类/510306_通信系统运行管理.pdf
高职专科	510307 智能互联网络技术	343977	343977	%PDF-	OK	高职专科/电子与信息大类/通信类/510307_智能互联网络技术.pdf
高职专科	510308 网络规划与优化技术	344530	344530	%PDF-	OK	高职专科/电子与信息大类/通信类/510308_网络规划与优化技术.pdf
高职专科	510309 电信服务与管理	347601	347601	%PDF-	OK	高职专科/电子与信息大类/通信类/510309_电信服务与管理.pdf
高职专科	580701 安全防范技术	338469	338469	%PDF-	OK	高职专科/公安与司法大类/安全防范类/580701_安全防范技术.pdf
高职专科	580702 安全保卫管理	389372	389372	%PDF-	OK	高职专科/公安与司法大类/安全防范类/580702_安全保卫管理.pdf
高职专科	580703 智能安防运营管理	373706	373706	%PDF-	OK	高职专科/公安与司法大类/安全防范类/580703_智能安防运营管理.pdf
高职专科	580401 法律事务	334960	334960	%PDF-	OK	高职专科/公安与司法大类/法律实务类/580401_法律事务.pdf
高职专科	580402 法律文秘	366288	366288	%PDF-	OK	高职专科/公安与司法大类/法律实务类/580402_法律文秘.pdf
高职专科	580505 社区矫正	342223	342223	%PDF-	OK	高职专科/公安与司法大类/法律执行类/580505_社区矫正.pdf
高职专科	580603 司法鉴定技术	343067	343067	%PDF-	OK	高职专科/公安与司法大类/司法技术类/580603_司法鉴定技术.pdf
高职专科	590301 现代家政服务与管理	320921	320921	%PDF-	OK	高职专科/公共管理与服务大类/公共服务类/590301_现代家政服务与管理.pdf
高职专科	590302 智慧健康养老服务与管理	356916	356916	%PDF-	OK	高职专科/公共管理与服务大类/公共服务类/590302_智慧健康养老服务与管理.pdf
高职专科	590304 婚庆服务与管理	347691	347691	%PDF-	OK	高职专科/公共管理与服务大类/公共服务类/590304_婚庆服务与管理.pdf
高职专科	590306 殡葬设备维护技术	340952	340952	%PDF-	OK	高职专科/公共管理与服务大类/公共服务类/590306_殡葬设备维护技术.pdf
高职专科	590202 人力资源管理	336826	336826	%PDF-	OK	高职专科/公共管理与服务大类/公共管理类/590202_人力资源管理.pdf
高职专科	590209 职业指导与服务	346450	346450	%PDF-	OK	高职专科/公共管理与服务大类/公共管理类/590209_职业指导与服务.pdf
高职专科	590210 标准化技术	327201	327201	%PDF-	OK	高职专科/公共管理与服务大类/公共管理类/590210_标准化技术.pdf
高职专科	590101 社会工作	307671	307671	%PDF-	OK	高职专科/公共管理与服务大类/公共事业类/590101_社会工作.pdf
高职专科	590102 党务工作	345417	345417	%PDF-	OK	高职专科/公共管理与服务大类/公共事业类/590102_党务工作.pdf
高职专科	590104 社区管理与服务	318591	318591	%PDF-	OK	高职专科/公共管理与服务大类/公共事业类/590104_社区管理与服务.pdf
高职专科	590401 现代文秘	357505	357505	%PDF-	OK	高职专科/公共管理与服务大类/文秘类/590401_现代文秘.pdf
高职专科	500601 城市轨道交通工程技术	388602	388602	%PDF-	OK	高职专科/交通运输大类/城市轨道交通类/500601_城市轨道交通工程技术.pdf
高职专科	500602 城市轨道车辆应用技术	344904	344904	%PDF-	OK	高职专科/交通运输大类/城市轨道交通类/500602_城市轨道车辆应用技术.pdf
高职专科	500603 城市轨道交通机电技术	342123	342123	%PDF-	OK	高职专科/交通运输大类/城市轨道交通类/500603_城市轨道交通机电技术.pdf
高职专科	500604 城市轨道交通通信信号技术	338831	338831	%PDF-	OK	高职专科/交通运输大类/城市轨道交通类/500604_城市轨道交通通信信号技术.pdf
高职专科	500605 城市轨道交通供配电技术	321094	321094	%PDF-	OK	高职专科/交通运输大类/城市轨道交通类/500605_城市轨道交通供配电技术.pdf
高职专科	500606 城市轨道交通运营管理	343992	343992	%PDF-	OK	高职专科/交通运输大类/城市轨道交通类/500606_城市轨道交通运营管理.pdf
高职专科	500401 民航运输服务	336793	336793	%PDF-	OK	高职专科/交通运输大类/航空运输类/500401_民航运输服务.pdf
高职专科	500405 空中乘务	401600	401600	%PDF-	OK	高职专科/交通运输大类/航空运输类/500405_空中乘务.pdf
高职专科	500406 民航安全技术管理	351448	351448	%PDF-	OK	高职专科/交通运输大类/航空运输类/500406_民航安全技术管理.pdf
高职专科	500407 民航空中安全保卫	351190	351190	%PDF-	OK	高职专科/交通运输大类/航空运输类/500407_民航空中安全保卫.pdf
高职专科	500408 机场运行服务与管理	334542	334542	%PDF-	OK	高职专科/交通运输大类/航空运输类/500408_机场运行服务与管理.pdf
高职专科	500409 飞机机电设备维修	376744	376744	%PDF-	OK	高职专科/交通运输大类/航空运输类/500409_飞机机电设备维修.pdf
高职专科	500412 通用航空器维修	362571	362571	%PDF-	OK	高职专科/交通运输大类/航空运输类/500412_通用航空器维修.pdf
高职专科	500414 航空地面设备维修	343727	343727	%PDF-	OK	高职专科/交通运输大类/航空运输类/500414_航空地面设备维修.pdf
高职专科	500416 通用航空航务技术	343302	343302	%PDF-	OK	高职专科/交通运输大类/航空运输类/500416_通用航空航务技术.pdf
高职专科	500302 港口与航道工程技术	354228	354228	%PDF-	OK	高职专科/交通运输大类/水上运输类/500302_港口与航道工程技术.pdf
高职专科	500304 国际邮轮乘务管理	340989	340989	%PDF-	OK	高职专科/交通运输大类/水上运输类/500304_国际邮轮乘务管理.pdf
高职专科	500305 水路运输安全管理	356042	356042	%PDF-	OK	高职专科/交通运输大类/水上运输类/500305_水路运输安全管理.pdf
高职专科	500306 港口机械与智能控制	347480	347480	%PDF-	OK	高职专科/交通运输大类/水上运输类/500306_港口机械与智能控制.pdf
高职专科	500308 船舶电子电气技术	346431	346431	%PDF-	OK	高职专科/交通运输大类/水上运输类/500308_船舶电子电气技术.pdf
高职专科	500310 集装箱运输管理	377006	377006	%PDF-	OK	高职专科/交通运输大类/水上运输类/500310_集装箱运输管理.pdf
高职专科	500101 铁道工程技术	358820	358820	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500101_铁道工程技术.pdf
高职专科	500102 高速铁路施工与维护	355311	355311	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500102_高速铁路施工与维护.pdf
高职专科	500103 铁道桥梁隧道工程技术	366761	366761	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500103_铁道桥梁隧道工程技术.pdf
高职专科	500104 铁道养路机械应用技术	412774	412774	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500104_铁道养路机械应用技术.pdf
高职专科	500105 铁道机车运用与维护	357585	357585	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500105_铁道机车运用与维护.pdf
高职专科	500106 铁道车辆技术	352955	352955	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500106_铁道车辆技术.pdf
高职专科	500109 高速铁路综合维修技术	352112	352112	%PDF-	OK	高职专科/交通运输大类/铁道运输类/500109_高速铁路综合维修技术.pdf
